strategy,difficulty,query,metric,score,total_relevant_docs,retrieved_ids,ground_truth_ids,incorrect_retrieved_top3,incorrect_retrieved_all,missed_ground_truth,notes
baseline_full_doc_cosine,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, einstein, benjamin_franklin, marie_curie, hawking","newton, einstein",Benjamin Franklin (benjamin_franklin) | Marie Curie (marie_curie) | Stephen Hawking (hawking),Benjamin Franklin (benjamin_franklin) | Marie Curie (marie_curie) | Stephen Hawking (hawking),,Semantic query about scientific contributions
baseline_full_doc_cosine,easy,Find people known for their contributions to civil rights and racial equality,precision@5,1.0,12,"rosa_parks, mlk, frederick_douglass, maya_angelou, malcolm_x","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",,,Nelson Mandela (mandela) | Harriet Tubman (harriet_tubman) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Mahatma Gandhi (gandhi) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
baseline_full_doc_cosine,easy,Find philosophers from ancient Greece,recall@5,1.0,2,"plato, aristotle, hypatia, confucius, kant","aristotle, plato",Hypatia of Alexandria (hypatia) | Confucius (confucius) | Immanuel Kant (kant),Hypatia of Alexandria (hypatia) | Confucius (confucius) | Immanuel Kant (kant),,Geographic and temporal scope with explicit profession
baseline_full_doc_cosine,easy,Find people who made contributions to mathematics,precision@5,1.0,11,"srinivasa_ramanujan, newton, einstein, alan_turing, hypatia","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",,,Ibn Sina (Avicenna) (ibn_sina) | Aristotle (aristotle) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale),Mathematical contributions query
baseline_full_doc_cosine,easy,Find artists known for emotional and expressive work,precision@5,1.0,13,"van_gogh, monet, frida_kahlo, picasso, raphael","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",,,Ludwig van Beethoven (beethoven) | Pyotr Ilyich Tchaikovsky (tchaikovsky) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Michelangelo (michelangelo) | Johann Sebastian Bach (bach) | Wolfgang Amadeus Mozart (mozart) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
baseline_full_doc_cosine,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, frederick_douglass, napoleon, benjamin_franklin, lincoln","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Frederick Douglass (frederick_douglass) | Napoleon Bonaparte (napoleon) | Abraham Lincoln (lincoln),Frederick Douglass (frederick_douglass) | Napoleon Bonaparte (napoleon) | Abraham Lincoln (lincoln),Queen Liliuokalani (queen_liliuokalani) | Nelson Mandela (mandela),Anti-colonial independence leaders
baseline_full_doc_cosine,hard,Find female scientists and mathematicians,recall@5,0.5,4,"marie_curie, hypatia, simone_de_beauvoir, newton, srinivasa_ramanujan","marie_curie, hypatia, florence_nightingale, rachel_carson",Simone de Beauvoir (simone_de_beauvoir) | Isaac Newton (newton) | Srinivasa Ramanujan (srinivasa_ramanujan),Simone de Beauvoir (simone_de_beauvoir) | Isaac Newton (newton) | Srinivasa Ramanujan (srinivasa_ramanujan),Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
baseline_full_doc_cosine,hard,Find people who were NOT born in Europe,precision@5,0.4,30,"einstein, kant, cheikh_anta_diop, copernicus, srinivasa_ramanujan","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Albert Einstein (einstein) | Immanuel Kant (kant) | Nicolaus Copernicus (copernicus),Albert Einstein (einstein) | Immanuel Kant (kant) | Nicolaus Copernicus (copernicus),Confucius (confucius) | Sun Tzu (sun_tzu) | Cleopatra VII (cleopatra) | Mahatma Gandhi (gandhi) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Akira Kurosawa (akira_kurosawa) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Ibn Battuta (ibn_battuta) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Genghis Khan (genghis_khan) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
baseline_full_doc_cosine,hard,Find people whose first name starts with the letter M,precision@5,0.2,9,"harriet_tubman, wangari_maathai, mozart, amelia_earhart, malcolm_x","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Harriet Tubman (harriet_tubman) | Wangari Maathai (wangari_maathai) | Wolfgang Amadeus Mozart (mozart),Harriet Tubman (harriet_tubman) | Wangari Maathai (wangari_maathai) | Wolfgang Amadeus Mozart (mozart) | Amelia Earhart (amelia_earhart),Michelangelo (michelangelo) | Marie Curie (marie_curie) | Michel de Montaigne (montaigne) | Maya Angelou (maya_angelou) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mary Wollstonecraft (mary_wollstonecraft) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
baseline_full_doc_cosine,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.4,13,"amelia_earhart, cheikh_anta_diop, einstein, hawking, marie_curie","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Cheikh Anta Diop (cheikh_anta_diop) | Albert Einstein (einstein) | Stephen Hawking (hawking),Cheikh Anta Diop (cheikh_anta_diop) | Albert Einstein (einstein) | Stephen Hawking (hawking),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Srinivasa Ramanujan (srinivasa_ramanujan) | Simone Weil (simone_weil) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
sentence_chunk_cosine,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, benjamin_franklin, einstein, hawking, darwin","newton, einstein",Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Charles Darwin (darwin),Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Charles Darwin (darwin),,Semantic query about scientific contributions
