retrieved_ranks,relevant_ranks,top1_relevant,hit_at_k,mrr,relevant_count,top_result_preview,top_result_source,query,retrieval_keywords,answer_keywords,config_name,pipeline,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars,answer_hit,answer_keyword_coverage,answer_preview
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is task decomposition in LLM-powered agents?,"task decomposition, subgoals, steps","task decomposition, subgoals, steps",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is one common technique mentioned for task decomposition?,"chain of thought, tree of thoughts, task decomposition","chain of thought, tree of thoughts",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, s","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 8}",What are the main components of an LLM-powered autonomous agent system?,"planning, memory, tool use","planning, memory, tool use",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",What is reflection or self-criticism used for in agent systems?,"reflection, self-reflection, self-criticism, critique","reflection, self-criticism, critique, improve",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Memory

Short-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.
Long-term memory: This provides the agent with the capability to retain and recall (infin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 971}",What kinds of memory are described for agents?,"sensory memory, short-term memory, long-term memory","sensory memory, short-term memory, long-term memory",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]",[2],False,True,0.5,1,"Case Studies#
Scientific Discovery Agent#
ChemCrow (Bran et al. 2023) is a domain-specific example in which LLM is augmented with 13 expert-designed tools to accomplish tasks across organic synthesis, drug discovery, and materials design. T","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 22228}",How do LLM agents use tools?,"tool use, external tools, api, search, calculator","tool use, external tools, api, search, calculator",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is task decomposition in LLM-powered agents?,"task decomposition, subgoals, steps","task decomposition, subgoals, steps",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is one common technique mentioned for task decomposition?,"chain of thought, tree of thoughts, task decomposition","chain of thought, tree of thoughts",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, s","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 8}",What are the main components of an LLM-powered autonomous agent system?,"planning, memory, tool use","planning, memory, tool use",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",What is reflection or self-criticism used for in agent systems?,"reflection, self-reflection, self-criticism, critique","reflection, self-criticism, critique, improve",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Memory

Short-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.
Long-term memory: This provides the agent with the capability to retain and recall (infin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 971}",What kinds of memory are described for agents?,"sensory memory, short-term memory, long-term memory","sensory memory, short-term memory, long-term memory",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]",[2],False,True,0.5,1,"Case Studies#
Scientific Discovery Agent#
ChemCrow (Bran et al. 2023) is a domain-specific example in which LLM is augmented with 13 expert-designed tools to accomplish tasks across organic synthesis, drug discovery, and materials design. T","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 22228}",How do LLM agents use tools?,"tool use, external tools, api, search, calculator","tool use, external tools, api, search, calculator",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3]","[1, 3]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is task decomposition in LLM-powered agents?,"task decomposition, subgoals, steps","task decomposition, subgoals, steps",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is one common technique mentioned for task decomposition?,"chain of thought, tree of thoughts, task decomposition","chain of thought, tree of thoughts",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,,,
"[1, 2, 3]",[2],False,True,0.5,1,"Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond genera","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 124}",What are the main components of an LLM-powered autonomous agent system?,"planning, memory, tool use","planning, memory, tool use",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",What is reflection or self-criticism used for in agent systems?,"reflection, self-reflection, self-criticism, critique","reflection, self-criticism, critique, improve",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Memory

Short-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.
Long-term memory: This provides the agent with the capability to retain and recall (infin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 971}",What kinds of memory are described for agents?,"sensory memory, short-term memory, long-term memory","sensory memory, short-term memory, long-term memory",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,,,
"[1, 2, 3]","[1, 3]",True,True,1.0,2,"Tool use

The agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary informa","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1318}",How do LLM agents use tools?,"tool use, external tools, api, search, calculator","tool use, external tools, api, search, calculator",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, s","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 8}",What is task decomposition in LLM-powered agents?,"task decomposition, subgoals, steps","task decomposition, subgoals, steps",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,,,
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",What is one common technique mentioned for task decomposition?,"chain of thought, tree of thoughts, task decomposition","chain of thought, tree of thoughts",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, s","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 8}",What are the main components of an LLM-powered autonomous agent system?,"planning, memory, tool use","planning, memory, tool use",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Illustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)

The heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped. Inefficient planning refers to trajectories","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 5209}",What is reflection or self-criticism used for in agent systems?,"reflection, self-reflection, self-criticism, critique","reflection, self-criticism, critique, improve",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,,,
"[1, 2, 3]","[1, 3]",True,True,1.0,2,"Explicit / declarative memory: This is memory of facts and events, and refers to those memories that can be consciously recalled, including episodic memory (events and experiences) and semantic memory (facts and concepts).
Implicit / proced","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 11181}",What kinds of memory are described for agents?,"sensory memory, short-term memory, long-term memory","sensory memory, short-term memory, long-term memory",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,,,
"[1, 2, 3]","[1, 3]",True,True,1.0,2,"Tool use

The agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary informa","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1318}",How do LLM agents use tools?,"tool use, external tools, api, search, calculator","tool use, external tools, api, search, calculator",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is task decomposition in LLM-powered agents?,"task decomposition, subgoals, steps","task decomposition, subgoals, steps",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,,,
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is one common technique mentioned for task decomposition?,"chain of thought, tree of thoughts, task decomposition","chain of thought, tree of thoughts",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, s","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 8}",What are the main components of an LLM-powered autonomous agent system?,"planning, memory, tool use","planning, memory, tool use",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",What is reflection or self-criticism used for in agent systems?,"reflection, self-reflection, self-criticism, critique","reflection, self-criticism, critique, improve",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,,,
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Memory

Short-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.
Long-term memory: This provides the agent with the capability to retain and recall (infin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 971}",What kinds of memory are described for agents?,"sensory memory, short-term memory, long-term memory","sensory memory, short-term memory, long-term memory",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,,,
"[1, 2, 3]",[2],False,True,0.5,1,"Case Studies#
Scientific Discovery Agent#
ChemCrow (Bran et al. 2023) is a domain-specific example in which LLM is augmented with 13 expert-designed tools to accomplish tasks across organic synthesis, drug discovery, and materials design. T","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 22228}",How do LLM agents use tools?,"tool use, external tools, api, search, calculator","tool use, external tools, api, search, calculator",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,,,
"[1, 2, 3, 4, 5]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is task decomposition in LLM-powered agents?,"task decomposition, subgoals, steps","task decomposition, subgoals, steps",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3, 4, 5]","[1, 2]",True,True,1.0,2,"Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with h","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2578}",What is one common technique mentioned for task decomposition?,"chain of thought, tree of thoughts, task decomposition","chain of thought, tree of thoughts",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3, 4, 5]","[1, 2, 3, 4]",True,True,1.0,4,"LLM Powered Autonomous Agents
    
Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, s","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 8}",What are the main components of an LLM-powered autonomous agent system?,"planning, memory, tool use","planning, memory, tool use",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,,,
"[1, 2, 3, 4, 5]","[1, 2, 3, 4]",True,True,1.0,4,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",What is reflection or self-criticism used for in agent systems?,"reflection, self-reflection, self-criticism, critique","reflection, self-criticism, critique, improve",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,,,
