user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,config_name,pipeline,chunk_size,retrieval_k,embedding_model,chunk_count
What is task decomposition in LLM-powered agents?,"['Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.\nAnother quite distinct approach, LLM+P (Liu et al. 2023), involves relying on an external classical planner to do long-horizon planning. This approach utilizes the Planning Domain Definition Language (PDDL) as an intermediate interface to describe the planning problem. In this process, LLM (1) translates the problem into “Problem PDDL”, then (2) requests a classical planner to generate a PDDL plan based on an existing “Domain PDDL”, and finally (3) translates the PDDL plan back into natural language. Essentially, the planning step is outsourced to an external tool, assuming the availability of domain-specific PDDL and a suitable planner which is common in certain robotic setups but not in many other domains.\nSelf-Reflection#', 'LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory', 'Reliability of natural language interface: Current agent system relies on natural language as an interface between LLMs and external components such as memory and tools. However, the reliability of model outputs is questionable, as LLMs may make formatting errors and occasionally exhibit rebellious behavior (e.g. refuse to follow an instruction). Consequently, much of the agent demo code focuses on parsing model output.\n\n\nCitation#\nCited as:\n\nWeng, Lilian. (Jun 2023). “LLM-powered Autonomous Agents”. Lil’Log. https://lilianweng.github.io/posts/2023-06-23-agent/.']","Task decomposition in LLM-powered agents involves breaking down large tasks into smaller, manageable subgoals. This can be accomplished in several ways: 

1. By the LLM with simple prompting (e.g., asking for steps or subgoals for a specific task).
2. Using task-specific instructions (e.g., directing the LLM to write a story outline).
3. Incorporating human inputs.

Additionally, an alternative approach involving LLM+P uses an external classical planner for long-horizon planning by translating the problem into PDDL, generating a plan, and translating it back into natural language.","Task decomposition is the process of breaking down a complicated task into smaller, manageable subgoals or steps. This can be done by using LLM with simple prompting, task-specific instructions, or human inputs.",1.0,0.9812854319538482,0.99999999995,1.0,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
What is one common technique mentioned for task decomposition?,"['Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.\nAnother quite distinct approach, LLM+P (Liu et al. 2023), involves relying on an external classical planner to do long-horizon planning. This approach utilizes the Planning Domain Definition Language (PDDL) as an intermediate interface to describe the planning problem. In this process, LLM (1) translates the problem into “Problem PDDL”, then (2) requests a classical planner to generate a PDDL plan based on an existing “Domain PDDL”, and finally (3) translates the PDDL plan back into natural language. Essentially, the planning step is outsourced to an external tool, assuming the availability of domain-specific PDDL and a suitable planner which is common in certain robotic setups but not in many other domains.\nSelf-Reflection#', 'Component One: Planning#\nA complicated task usually involves many steps. An agent needs to know what they are and plan ahead.\nTask Decomposition#\nChain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancing model performance on complex tasks. The model is instructed to “think step by step” to utilize more test-time computation to decompose hard tasks into smaller and simpler steps. CoT transforms big tasks into multiple manageable tasks and shed lights into an interpretation of the model’s thinking process.\nTree of Thoughts (Yao et al. 2023) extends CoT by exploring multiple reasoning possibilities at each step. It first decomposes the problem into multiple thought steps and generates multiple thoughts per step, creating a tree structure. The search process can be BFS (breadth-first search) or DFS (depth-first search) with each state evaluated by a classifier (via a prompt) or majority vote.', 'The AI assistant can parse user input to several tasks: [{""task"": task, ""id"", task_id, ""dep"": dependency_task_ids, ""args"": {""text"": text, ""image"": URL, ""audio"": URL, ""video"": URL}}]. The ""dep"" field denotes the id of the previous task which generates a new resource that the current task relies on. A special tag ""-task_id"" refers to the generated text image, audio and video in the dependency task with id as task_id. The task MUST be selected from the following options: {{ Available Task List }}. There is a logical relationship between tasks, please note their order. If the user input can\'t be parsed, you need to reply empty JSON. Here are several cases for your reference: {{ Demonstrations }}. The chat history is recorded as {{ Chat History }}. From this chat history, you can find the path of the user-mentioned resources for your task planning.']","One common technique mentioned for task decomposition is Chain of Thought (CoT), which instructs the model to ""think step by step"" to break down complex tasks into smaller, more manageable steps.",Chain of thought (CoT) and Tree of Thoughts (ToT) are common techniques mentioned for task decomposition.,1.0,0.9546263478409649,0.49999999995,1.0,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
What are the main components of an LLM-powered autonomous agent system?,"['LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory', 'Memory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'Reliability of natural language interface: Current agent system relies on natural language as an interface between LLMs and external components such as memory and tools. However, the reliability of model outputs is questionable, as LLMs may make formatting errors and occasionally exhibit rebellious behavior (e.g. refuse to follow an instruction). Consequently, much of the agent demo code focuses on parsing model output.\n\n\nCitation#\nCited as:\n\nWeng, Lilian. (Jun 2023). “LLM-powered Autonomous Agents”. Lil’Log. https://lilianweng.github.io/posts/2023-06-23-agent/.']","The main components of an LLM-powered autonomous agent system include:

1. **Planning:**
   - **Subgoal and decomposition:** Breaking down large tasks into smaller, manageable subgoals.
   - **Reflection and refinement:** Self-criticism over past actions to learn from mistakes and improve future outcomes.

2. **Memory:**
   - **Short-term memory:** Utilization of in-context learning for immediate tasks.
   - **Long-term memory:** Capability to retain and recall extensive information over time, often using an external vector store.

3. **Tool use:** The ability of the agent to call external APIs for additional information and functionalities not contained within the model weights.

4. **Reliability of natural language interface:** The interaction between LLMs and external components through natural language, which may pose reliability challenges.","The main components are planning, memory, and tool use.",1.0,1.0000000000000002,0.0,1.0,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
What is reflection or self-criticism used for in agent systems?,"['Self-Reflection#\nSelf-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.\nReAct (Yao et al. 2023) integrates reasoning and acting within LLM by extending the action space to be a combination of task-specific discrete actions and the language space. The former enables LLM to interact with the environment (e.g. use Wikipedia search API), while the latter prompting LLM to generate reasoning traces in natural language.\nThe ReAct prompt template incorporates explicit steps for LLM to think, roughly formatted as:\nThought: ...\nAction: ...\nObservation: ...\n... (Repeated many times)', 'Illustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)\n\nThe heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped. Inefficient planning refers to trajectories that take too long without success. Hallucination is defined as encountering a sequence of consecutive identical actions that lead to the same observation in the environment.\nSelf-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes in the plan). Then reflections are added into the agent’s working memory, up to three, to be used as context for querying LLM.\n\n\nExperiments on AlfWorld Env and HotpotQA. Hallucination is a more common failure than inefficient planning in AlfWorld. (Image source: Shinn & Labash, 2023)', 'Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).\n\nIn both experiments on knowledge-intensive tasks and decision-making tasks, ReAct works better than the Act-only baseline where Thought: … step is removed.\nReflexion (Shinn & Labash 2023) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills. Reflexion has a standard RL setup, in which the reward model provides a simple binary reward and the action space follows the setup in ReAct where the task-specific action space is augmented with language to enable complex reasoning steps. After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may decide to reset the environment to start a new trial depending on the self-reflection results.\n\n\nIllustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)']","Reflection or self-criticism in agent systems is used to improve the agents iteratively by allowing them to refine past action decisions and correct previous mistakes. It is especially crucial in real-world tasks where trial and error are common. Self-reflection helps agents to determine when their actions are inefficient or leading to repetitive failures (hallucination), which can be addressed by using past experiences to inform future decisions. This capability is integrated within frameworks like Reflexion, enhancing reasoning skills through dynamic memory and self-reflective practices.",Reflection or self-criticism is used to improve iteratively by refining past action decisions and correcting previous mistakes.,1.0,0.9824090130987997,0.9999999999666667,1.0,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
What kinds of memory are described for agents?,"['Memory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'Categorization of human memory.\n\nWe can roughly consider the following mappings:\n\nSensory memory as learning embedding representations for raw inputs, including text, image or other modalities;\nShort-term memory as in-context learning. It is short and finite, as it is restricted by the finite context window length of Transformer.\nLong-term memory as the external vector store that the agent can attend to at query time, accessible via fast retrieval.', 'Memory stream: is a long-term memory module (external database) that records a comprehensive list of agents’ experience in natural language.\n\nEach element is an observation, an event directly provided by the agent.\n- Inter-agent communication can trigger new natural language statements.\n\n\nRetrieval model: surfaces the context to inform the agent’s behavior, according to relevance, recency and importance.\n\nRecency: recent events have higher scores\nImportance: distinguish mundane from core memories. Ask LM directly.\nRelevance: based on how related it is to the current situation / query.\n\n\nReflection mechanism: synthesizes memories into higher level inferences over time and guides the agent’s future behavior. They are higher-level summaries of past events (<- note that this is a bit different from self-reflection above)']","The kinds of memory described for agents are:

1. **Sensory Memory**: This involves learning embedding representations for raw inputs, such as text, images, or other modalities.

2. **Short-term Memory**: This is associated with in-context learning and is limited by the finite context window length of the model.

3. **Long-term Memory**: This includes an external vector store that retains information over extended periods and allows for fast retrieval.

4. **Memory Stream**: A long-term memory module that records a comprehensive list of the agent's experiences in natural language.

5. **Reflection Mechanism**: This synthesizes memories into higher-level inferences over time, guiding the agent's future behavior.","Sensory memory, short-term memory (in-context learning), and long-term memory (external vector store) are described.",1.0,0.9627979856702954,0.49999999995,1.0,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
How do LLM agents use tools?,"['Case Studies#\nScientific Discovery Agent#\nChemCrow (Bran et al. 2023) is a domain-specific example in which LLM is augmented with 13 expert-designed tools to accomplish tasks across organic synthesis, drug discovery, and materials design. The workflow, implemented in LangChain, reflects what was previously described in the ReAct and MRKLs and combines CoT reasoning with tools relevant to the tasks:\n\nThe LLM is provided with a list of tool names, descriptions of their utility, and details about the expected input/output.\nIt is then instructed to answer a user-given prompt using the tools provided when necessary. The instruction suggests the model to follow the ReAct format - Thought, Action, Action Input, Observation.', 'Pseudo code of how LLM makes an API call in API-Bank. (Image source: Li et al. 2023)\n\nIn the API-Bank workflow, LLMs need to make a couple of decisions and at each step we can evaluate how accurate that decision is. Decisions include:\n\nWhether an API call is needed.\nIdentify the right API to call: if not good enough, LLMs need to iteratively modify the API inputs (e.g. deciding search keywords for Search Engine API).\nResponse based on the API results: the model can choose to refine and call again if results are not satisfied.\n\nThis benchmark evaluates the agent’s tool use capabilities at three levels:', 'LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory']","LLM agents use tools by being provided with a list of tool names, their descriptions, and details about their expected input/output. The agent can then follow a structured format, like ReAct, which involves steps of Thought, Action, Action Input, and Observation. This allows the LLM to decide when to utilize a tool, identify the appropriate tool for a given task, and modify inputs if necessary. The agent can also evaluate the results obtained from the tools and make decisions about refining the approach as needed.","LLM agents call external APIs for extra information that is missing from the model weights, such as current information, code execution capability, or access to proprietary information databases.",1.0,1.0,0.49999999995,0.5,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
How does Reflexion improve agent performance?,"['Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).\n\nIn both experiments on knowledge-intensive tasks and decision-making tasks, ReAct works better than the Act-only baseline where Thought: … step is removed.\nReflexion (Shinn & Labash 2023) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills. Reflexion has a standard RL setup, in which the reward model provides a simple binary reward and the action space follows the setup in ReAct where the task-specific action space is augmented with language to enable complex reasoning steps. After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may decide to reset the environment to start a new trial depending on the self-reflection results.\n\n\nIllustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)', 'Illustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)\n\nThe heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped. Inefficient planning refers to trajectories that take too long without success. Hallucination is defined as encountering a sequence of consecutive identical actions that lead to the same observation in the environment.\nSelf-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes in the plan). Then reflections are added into the agent’s working memory, up to three, to be used as context for querying LLM.\n\n\nExperiments on AlfWorld Env and HotpotQA. Hallucination is a more common failure than inefficient planning in AlfWorld. (Image source: Shinn & Labash, 2023)', 'Self-Reflection#\nSelf-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.\nReAct (Yao et al. 2023) integrates reasoning and acting within LLM by extending the action space to be a combination of task-specific discrete actions and the language space. The former enables LLM to interact with the environment (e.g. use Wikipedia search API), while the latter prompting LLM to generate reasoning traces in natural language.\nThe ReAct prompt template incorporates explicit steps for LLM to think, roughly formatted as:\nThought: ...\nAction: ...\nObservation: ...\n... (Repeated many times)']","Reflexion improves agent performance by equipping agents with dynamic memory and self-reflection capabilities, which enhance their reasoning skills. The framework allows agents to compute heuristics after each action to assess the efficiency of their trajectories and identify issues such as hallucinations or inefficient planning. Additionally, through self-reflection, agents can refine past decisions by learning from failed trajectories and incorporating ideal reflections into their working memory, thereby guiding future actions and improving decision-making over time.",Reflexion is a framework that equips agents with dynamic memory and self-reflection capabilities to improve reasoning skills. A heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped.,0.9,1.0,0.9999999999666667,1.0,baseline_two_step,two_step,1000,3,text-embedding-3-small,63
What is task decomposition in LLM-powered agents?,"['Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.\nAnother quite distinct approach, LLM+P (Liu et al. 2023), involves relying on an external classical planner to do long-horizon planning. This approach utilizes the Planning Domain Definition Language (PDDL) as an intermediate interface to describe the planning problem. In this process, LLM (1) translates the problem into “Problem PDDL”, then (2) requests a classical planner to generate a PDDL plan based on an existing “Domain PDDL”, and finally (3) translates the PDDL plan back into natural language. Essentially, the planning step is outsourced to an external tool, assuming the availability of domain-specific PDDL and a suitable planner which is common in certain robotic setups but not in many other domains.\nSelf-Reflection#', 'LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory', 'Reliability of natural language interface: Current agent system relies on natural language as an interface between LLMs and external components such as memory and tools. However, the reliability of model outputs is questionable, as LLMs may make formatting errors and occasionally exhibit rebellious behavior (e.g. refuse to follow an instruction). Consequently, much of the agent demo code focuses on parsing model output.\n\n\nCitation#\nCited as:\n\nWeng, Lilian. (Jun 2023). “LLM-powered Autonomous Agents”. Lil’Log. https://lilianweng.github.io/posts/2023-06-23-agent/.']","Task decomposition in LLM-powered agents involves breaking down large tasks into smaller, more manageable subgoals. This process allows the agent to handle complex tasks more efficiently. There are several methods for task decomposition:

1. **Simple Prompting**: By using prompts like ""Steps for XYZ"" or ""What are the subgoals for achieving XYZ?"", the model can generate a list of steps.
  
2. **Task-Specific Instructions**: Providing direct instructions tailored to specific tasks, such as ""Write a story outline"" when the goal is to compose a novel.

3. **Human Inputs**: Involving human guidance to assist in identifying and structuring subgoals.

Additionally, a distinct approach called LLM+P involves using an external classical planner for long-horizon planning. In this method, the LLM translates the problem into a Planning Domain Definition Language (PDDL) format, interacts with a planner to generate a plan, and then translates this plan back into natural language, effectively outsourcing the planning task to an external tool.

Overall, task decomposition enhances an agent's capabilities by structuring tasks in a way that improves clarity and execution.","Task decomposition is the process of breaking down a complicated task into smaller, manageable subgoals or steps. This can be done by using LLM with simple prompting, task-specific instructions, or human inputs.",0.9411764705882353,0.9637494163101846,0.99999999995,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
What is one common technique mentioned for task decomposition?,"['Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.\nAnother quite distinct approach, LLM+P (Liu et al. 2023), involves relying on an external classical planner to do long-horizon planning. This approach utilizes the Planning Domain Definition Language (PDDL) as an intermediate interface to describe the planning problem. In this process, LLM (1) translates the problem into “Problem PDDL”, then (2) requests a classical planner to generate a PDDL plan based on an existing “Domain PDDL”, and finally (3) translates the PDDL plan back into natural language. Essentially, the planning step is outsourced to an external tool, assuming the availability of domain-specific PDDL and a suitable planner which is common in certain robotic setups but not in many other domains.\nSelf-Reflection#', 'Component One: Planning#\nA complicated task usually involves many steps. An agent needs to know what they are and plan ahead.\nTask Decomposition#\nChain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancing model performance on complex tasks. The model is instructed to “think step by step” to utilize more test-time computation to decompose hard tasks into smaller and simpler steps. CoT transforms big tasks into multiple manageable tasks and shed lights into an interpretation of the model’s thinking process.\nTree of Thoughts (Yao et al. 2023) extends CoT by exploring multiple reasoning possibilities at each step. It first decomposes the problem into multiple thought steps and generates multiple thoughts per step, creating a tree structure. The search process can be BFS (breadth-first search) or DFS (depth-first search) with each state evaluated by a classifier (via a prompt) or majority vote.', 'The AI assistant can parse user input to several tasks: [{""task"": task, ""id"", task_id, ""dep"": dependency_task_ids, ""args"": {""text"": text, ""image"": URL, ""audio"": URL, ""video"": URL}}]. The ""dep"" field denotes the id of the previous task which generates a new resource that the current task relies on. A special tag ""-task_id"" refers to the generated text image, audio and video in the dependency task with id as task_id. The task MUST be selected from the following options: {{ Available Task List }}. There is a logical relationship between tasks, please note their order. If the user input can\'t be parsed, you need to reply empty JSON. Here are several cases for your reference: {{ Demonstrations }}. The chat history is recorded as {{ Chat History }}. From this chat history, you can find the path of the user-mentioned resources for your task planning.']","One common technique mentioned for task decomposition is the ""Chain of Thought"" (CoT) prompting technique. This method instructs the model to ""think step by step,"" helping it to break down complex tasks into smaller, manageable steps and providing insight into its thinking process.",Chain of thought (CoT) and Tree of Thoughts (ToT) are common techniques mentioned for task decomposition.,1.0,0.3615545626007466,0.49999999995,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
What are the main components of an LLM-powered autonomous agent system?,"['LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory', 'Memory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'Reliability of natural language interface: Current agent system relies on natural language as an interface between LLMs and external components such as memory and tools. However, the reliability of model outputs is questionable, as LLMs may make formatting errors and occasionally exhibit rebellious behavior (e.g. refuse to follow an instruction). Consequently, much of the agent demo code focuses on parsing model output.\n\n\nCitation#\nCited as:\n\nWeng, Lilian. (Jun 2023). “LLM-powered Autonomous Agents”. Lil’Log. https://lilianweng.github.io/posts/2023-06-23-agent/.']","The main components of an LLM-powered autonomous agent system include:

1. **Planning**:
   - **Subgoal and Decomposition**: The agent breaks down larger tasks into smaller, manageable subgoals to handle complex tasks effectively.
   - **Reflection and Refinement**: The agent can reflect on past actions, learn from mistakes, and refine future actions, thereby improving the quality of results.

2. **Memory**:
   - **Short-term Memory**: Utilizes in-context learning for immediate task handling.
   - **Long-term Memory**: Allows the agent to retain and recall information over extended periods, often using an external vector store for fast retrieval.

3. **Tool Use**: 
   - The agent can call external APIs to access additional information, execute code, or gather current data that may not be available in the LLM's pre-trained model weights.

These components work together to enable the LLM to function effectively as an autonomous agent.","The main components are planning, memory, and tool use.",1.0,0.9999995700916067,0.0,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
