retrieved_ranks,relevant_ranks,top1_relevant,hit_at_k,mrr,relevant_count,top_result_preview,top_result_source,top_result_keyword_matches,query,retrieval_keywords,answer_keywords,config_name,pipeline,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars,answer_hit,answer_keyword_coverage,answer_preview
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which task decomposition technique asks the model to think step by step before answering?,"chain of thought, step by step, task decomposition","chain of thought, step by step, task decomposition",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,1.0,The task decomposition technique that asks the model to think step by step before answering is called Chain of Thought (CoT).
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which planning method explores multiple reasoning paths at each step instead of following a single chain?,"tree of thoughts, multiple reasoning possibilities, search","tree of thoughts, multiple reasoning possibilities, search",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,"The planning method that explores multiple reasoning paths at each step instead of following a single chain is called the ""Tree of Thoughts."" This method extends the Chain of Thought (CoT) by generating multiple thoughts per step and creati"
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Categorization of human memory.

We can roughly consider the following mappings:

Sensory memory as learning embedding representations for raw inputs, including text, image or other modalities;
Short-term memory as in-context learning. It i","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 11585}",3,What type of memory stores information in an external vector store for later retrieval?,"long-term memory, vector store, retrieval","long-term memory, vector store, retrieval",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,1.0,The type of memory that stores information in an external vector store for later retrieval is referred to as long-term memory.
"[1, 2, 3]",[3],False,True,0.3333333333333333,1,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",1,Which self-improvement framework turns feedback into verbal reinforcement for the next attempt?,"reflexion, verbal reinforcement, self-reflection","reflexion, verbal reinforcement, self-reflection",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,"The self-improvement framework that turns feedback into verbal reinforcement for the next attempt is called Chain of Hindsight (CoH). It encourages the model to improve on its outputs by presenting it with a sequence of past outputs, each a"
"[1, 2, 3]",[2],False,True,0.5,1,"Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).

In both experiments on knowledge-intensive tasks and decision-","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 4312}",1,Which tool-use pattern interleaves reasoning traces with actions?,"react, reasoning traces, actions","react, reasoning traces, actions",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,1.0,The tool-use pattern that interleaves reasoning traces with actions is called ReAct.
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"This benchmark evaluates the agent’s tool use capabilities at three levels:

Level-1 evaluates the ability to call the API. Given an API’s description, the model needs to determine whether to call a given API, call it correctly, and respond","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 21547}",2,What benchmark is proposed to evaluate tool use with a large collection of APIs?,"apibank, benchmark, api","apibank, benchmark, api",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,0.6666666666666666,"The proposed benchmark to evaluate tool use with a large collection of APIs is called API-Bank. It evaluates the agent’s tool use capabilities at three levels: 

1. Level-1 evaluates the ability to call the API properly based on its descrip"
"[1, 2, 3]",[],False,False,0.0,0,Both TALM (Tool Augmented Language Models; Parisi et al. 2022) and Toolformer (Schick et al. 2023) fine-tune a LM to learn to use external tool APIs. The dataset is expanded based on whether a newly added API call annotation can improve the,"{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 16535}",1,Which model is fine-tuned on API documentation to improve tool-use behavior?,"gorilla, api documentation, tool use","gorilla, api documentation, tool use",baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,False,0.0,I do not know.
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which task decomposition technique asks the model to think step by step before answering?,"chain of thought, step by step, task decomposition","chain of thought, step by step, task decomposition",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,1.0,"The task decomposition technique that asks the model to ""think step by step"" before answering is known as the Chain of Thought (CoT) prompting technique. This approach enhances model performance on complex tasks by encouraging the model to "
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which planning method explores multiple reasoning paths at each step instead of following a single chain?,"tree of thoughts, multiple reasoning possibilities, search","tree of thoughts, multiple reasoning possibilities, search",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,The planning method that explores multiple reasoning paths at each step instead of following a single chain is called the **Tree of Thoughts**. This method extends the traditional Chain of Thought (CoT) by decomposing the problem into multi
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"Categorization of human memory.

We can roughly consider the following mappings:

Sensory memory as learning embedding representations for raw inputs, including text, image or other modalities;
Short-term memory as in-context learning. It i","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 11585}",3,What type of memory stores information in an external vector store for later retrieval?,"long-term memory, vector store, retrieval","long-term memory, vector store, retrieval",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,1.0,The type of memory that stores information in an external vector store for later retrieval is known as **long-term memory**. This long-term memory allows for the retention and recall of information over extended periods and is often accesse
